"Provinsi","Kota","Jumlah AHH","AHH","Jumlah RLS","RLS","Jumlah HLS","HLS","Pengeluaran","PPK","Jumlah IPM","IPM"
"Papua Barat","Teluk Wondama","65.32","Sedang","7.27","Sedang","11.9","Sedang","  8,490.00 ","Sedang","61.67","=IF(K476>=80,""Sangat Tinggi"",IF(K476>=70,""Tinggi"",IF(K476>=60,""Sedang"",""Rendah"")))"
"Papua Barat","Teluk Bintuni","67.75","Sedang","8.51","Sedang","12.44","Tinggi","  10,324.00 ","Tinggi","66.00","=IF(K477>=80,""Sangat Tinggi"",IF(K477>=70,""Tinggi"",IF(K477>=60,""Sedang"",""Rendah"")))"
"Papua Barat","Manokwari","72.25","Tinggi","8.54","Sedang","13.78","Tinggi","  12,566.00 ","Tinggi","73.21","=IF(K478>=80,""Sangat Tinggi"",IF(K478>=70,""Tinggi"",IF(K478>=60,""Sedang"",""Rendah"")))"
"Papua Barat","Sorong Selatan","67.11","Sedang","7.62","Sedang","13.28","Tinggi","  6,727.00 ","Rendah","63.94","=IF(K479>=80,""Sangat Tinggi"",IF(K479>=70,""Tinggi"",IF(K479>=60,""Sedang"",""Rendah"")))"
"Papua Barat","Sorong","69.88","Sedang","8.61","Sedang","13.92","Tinggi","  7,984.00 ","Rendah","67.49","=IF(K480>=80,""Sangat Tinggi"",IF(K480>=70,""Tinggi"",IF(K480>=60,""Sedang"",""Rendah"")))"
"Papua Barat","Raja Ampat","66.98","Sedang","8.24","Sedang","12.11","Tinggi","  8,483.00 ","Sedang","65.26","=IF(K481>=80,""Sangat Tinggi"",IF(K481>=70,""Tinggi"",IF(K481>=60,""Sedang"",""Rendah"")))"
"Papua Barat","Tambrauw","65.7","Sedang","5.71","Rendah","12.36","Tinggi","  5,302.00 ","Rendah","55.55","=IF(K482>=80,""Sangat Tinggi"",IF(K482>=70,""Tinggi"",IF(K482>=60,""Sedang"",""Rendah"")))"
"Papua Barat","Maybrat","65.82","Sedang","7.32","Sedang","13.49","Tinggi","  5,669.00 ","Rendah","61.29","=IF(K483>=80,""Sangat Tinggi"",IF(K483>=70,""Tinggi"",IF(K483>=60,""Sedang"",""Rendah"")))"
"Papua Barat","Manokwari Selatan","68.09","Sedang","6.96","Rendah","12.56","Tinggi","  5,948.00 ","Rendah","61.55","=IF(K484>=80,""Sangat Tinggi"",IF(K484>=70,""Tinggi"",IF(K484>=60,""Sedang"",""Rendah"")))"
"Papua Barat","Pegunungan Arfak","67.71","Sedang","5.51","Rendah","11.79","Sedang","  5,438.00 ","Rendah","57.82","=IF(K485>=80,""Sangat Tinggi"",IF(K485>=70,""Tinggi"",IF(K485>=60,""Sedang"",""Rendah"")))"
"Papua Barat","Kota Sorong","72.83","Tinggi","11.5","Tinggi","14.42","Tinggi","  14,133.00 ","Tinggi","79.65","=IF(K486>=80,""Sangat Tinggi"",IF(K486>=70,""Tinggi"",IF(K486>=60,""Sedang"",""Rendah"")))"
"Papua ","Merauke","71.27","Tinggi","9.25","Sedang","14.47","Tinggi","  10,747.00 ","Tinggi","72.19","=IF(K487>=80,""Sangat Tinggi"",IF(K487>=70,""Tinggi"",IF(K487>=60,""Sedang"",""Rendah"")))"
"Papua ","Jayawijaya","69.79","Sedang","5.98","Rendah","12.84","Tinggi","  8,159.00 ","Sedang","60.50","=IF(K488>=80,""Sangat Tinggi"",IF(K488>=70,""Tinggi"",IF(K488>=60,""Sedang"",""Rendah"")))"
